root(nselect:0) 	 	 Verbo(nselect:0)
{administrator, decision maker}(nselect:0) 	 	 {executive, executive director}(nselect:0)
{executive, executive director}(nselect:0) 	 	 {corporate executive, business executive}(nselect:0)
{corporate executive, business executive}(nselect:0) 	 	 {chairman of the board}(nselect:0)
{corporate executive, business executive}(nselect:0) 	 	 {chief executive officer, CEO, chief operating officer}(nselect:0)
{corporate executive, business executive}(nselect:0) 	 	 {chief financial officer, CFO}(nselect:0)
{corporate executive, business executive}(nselect:0) 	 	 {insider}(nselect:0)
{corporate executive, business executive}(nselect:0) 	 	 {president}(nselect:12)
{executive, executive director}(nselect:0) 	 	 {rainmaker}(nselect:0)
{executive, executive director}(nselect:0) 	 	 {Surgeon General}(nselect:0)
{executive, executive director}(nselect:0) 	 	 {vice president, V.P.}(nselect:4)
{vice president, V.P.}(nselect:4) 	 	 {executive vice president}(nselect:0)
{vice president, V.P.}(nselect:4) 	 	 {senior vice president}(nselect:0)
{vice president, V.P.}(nselect:4) 	 	 {Vice President of the United States}(nselect:0)
{executive, executive director}(nselect:0) 	 	 {minister, government minister}(nselect:8)
{minister, government minister}(nselect:8) 	 	 {cabinet minister}(nselect:0)
{minister, government minister}(nselect:8) 	 	 {finance minister, minister of finance}(nselect:0)
{minister, government minister}(nselect:8) 	 	 {foreign minister, secretary of state}(nselect:0)
{administrator, decision maker}(nselect:0) 	 	 {academic administrator}(nselect:0)
{academic administrator}(nselect:0) 	 	 {dean}(nselect:0)
{academic administrator}(nselect:0) 	 	 {provost}(nselect:0)
{academic administrator}(nselect:0) 	 	 {registrar}(nselect:0)
{academic administrator}(nselect:0) 	 	 {president, prexy}(nselect:2)
{administrator, decision maker}(nselect:0) 	 	 {hotelier, hotelkeeper, hotel manager, hotelman, hosteller}(nselect:0)
{administrator, decision maker}(nselect:0) 	 	 {land agent}(nselect:0)
{administrator, decision maker}(nselect:0) 	 	 {security director}(nselect:0)
{administrator, decision maker}(nselect:0) 	 	 {vice chancellor}(nselect:0)
{administrator, decision maker}(nselect:0) 	 	 {director, manager, managing director}(nselect:3)
{director, manager, managing director}(nselect:3) 	 	 {bank manager}(nselect:0)
{director, manager, managing director}(nselect:3) 	 	 {district manager}(nselect:0)
{director, manager, managing director}(nselect:3) 	 	 {manageress}(nselect:0)
{leader}(nselect:6) 	 	 {spiritual leader}(nselect:0)
{spiritual leader}(nselect:0) 	 	 {clergyman, reverend, man of the cloth}(nselect:0)
{clergyman, reverend, man of the cloth}(nselect:0) 	 	 {acolyte}(nselect:0)
{clergyman, reverend, man of the cloth}(nselect:0) 	 	 {anagnost}(nselect:0)
{clergyman, reverend, man of the cloth}(nselect:0) 	 	 {archdeacon}(nselect:0)
{clergyman, reverend, man of the cloth}(nselect:0) 	 	 {chaplain}(nselect:0)
{clergyman, reverend, man of the cloth}(nselect:0) 	 	 {cleric, churchman, divine, ecclesiastic}(nselect:0)
{clergyman, reverend, man of the cloth}(nselect:0) 	 	 {curate, minister of religion, minister, parson, pastor, rector}(nselect:0)
{clergyman, reverend, man of the cloth}(nselect:0) 	 	 {deacon}(nselect:0)
{clergyman, reverend, man of the cloth}(nselect:0) 	 	 {dominus, dominie, domine, dominee}(nselect:0)
{clergyman, reverend, man of the cloth}(nselect:0) 	 	 {doorkeeper, ostiary, ostiarius}(nselect:0)
{clergyman, reverend, man of the cloth}(nselect:0) 	 	 {lector, reader}(nselect:0)
{clergyman, reverend, man of the cloth}(nselect:0) 	 	 {officiant}(nselect:0)
{clergyman, reverend, man of the cloth}(nselect:0) 	 	 {ordinand}(nselect:0)
{clergyman, reverend, man of the cloth}(nselect:0) 	 	 {ordinary}(nselect:0)
{clergyman, reverend, man of the cloth}(nselect:0) 	 	 {postulator}(nselect:0)
{clergyman, reverend, man of the cloth}(nselect:0) 	 	 {preacher, preacher man, sermonizer, sermoniser}(nselect:0)
{clergyman, reverend, man of the cloth}(nselect:0) 	 	 {shepherd}(nselect:0)
{clergyman, reverend, man of the cloth}(nselect:0) 	 	 {subdeacon}(nselect:0)
{clergyman, reverend, man of the cloth}(nselect:0) 	 	 {vicar}(nselect:0)
{clergyman, reverend, man of the cloth}(nselect:0) 	 	 {vicar}(nselect:0)
{clergyman, reverend, man of the cloth}(nselect:0) 	 	 {priest}(nselect:9)
{priest}(nselect:9) 	 	 {archpriest, hierarch, high priest, prelate, primate}(nselect:0)
{priest}(nselect:9) 	 	 {bishop}(nselect:0)
{bishop}(nselect:0) 	 	 {archbishop}(nselect:0)
{bishop}(nselect:0) 	 	 {diocesan}(nselect:0)
{bishop}(nselect:0) 	 	 {eparch}(nselect:0)
{bishop}(nselect:0) 	 	 {exarch}(nselect:0)
{bishop}(nselect:0) 	 	 {exarch}(nselect:0)
{bishop}(nselect:0) 	 	 {primus}(nselect:0)
{bishop}(nselect:0) 	 	 {suffragan, suffragan bishop}(nselect:0)
{bishop}(nselect:0) 	 	 {vicar apostolic}(nselect:0)
{bishop}(nselect:0) 	 	 {cardinal}(nselect:3)
{cardinal}(nselect:3) 	 	 {dean}(nselect:0)
{priest}(nselect:9) 	 	 {canon}(nselect:0)
{priest}(nselect:9) 	 	 {celebrant}(nselect:0)
{priest}(nselect:9) 	 	 {confessor}(nselect:0)
{priest}(nselect:9) 	 	 {domestic prelate}(nselect:0)
{priest}(nselect:9) 	 	 {Father, Padre}(nselect:0)
{priest}(nselect:9) 	 	 {Monsignor}(nselect:0)
{priest}(nselect:9) 	 	 {pontifex}(nselect:0)
{priest}(nselect:9) 	 	 {priestess}(nselect:0)
{priest}(nselect:9) 	 	 {vicar}(nselect:0)
{leader}(nselect:6) 	 	 {aristocrat, blue blood, patrician}(nselect:0)
{leader}(nselect:6) 	 	 {bellwether}(nselect:0)
{leader}(nselect:6) 	 	 {caller}(nselect:0)
{leader}(nselect:6) 	 	 {captain, chieftain}(nselect:0)
{leader}(nselect:6) 	 	 {cheerleader}(nselect:0)
{leader}(nselect:6) 	 	 {choragus}(nselect:0)
{leader}(nselect:6) 	 	 {civic leader, civil leader}(nselect:0)
{leader}(nselect:6) 	 	 {commander}(nselect:0)
{leader}(nselect:6) 	 	 {demigod, superman, Ubermensch}(nselect:0)
{leader}(nselect:6) 	 	 {duce}(nselect:0)
{leader}(nselect:6) 	 	 {employer}(nselect:0)
{leader}(nselect:6) 	 	 {father}(nselect:0)
{leader}(nselect:6) 	 	 {boss}(nselect:0)
{leader}(nselect:6) 	 	 {fugleman}(nselect:0)
{leader}(nselect:6) 	 	 {galvanizer, galvaniser, inspirer}(nselect:0)
{leader}(nselect:6) 	 	 {guide}(nselect:0)
{leader}(nselect:6) 	 	 {guru}(nselect:0)
{leader}(nselect:6) 	 	 {headman, tribal chief, chieftain, chief}(nselect:0)
{leader}(nselect:6) 	 	 {imam, imaum}(nselect:0)
{leader}(nselect:6) 	 	 {instigator, initiator}(nselect:0)
{leader}(nselect:6) 	 	 {labor leader}(nselect:0)
{leader}(nselect:6) 	 	 {malik}(nselect:0)
{leader}(nselect:6) 	 	 {military leader}(nselect:0)
{leader}(nselect:6) 	 	 {misleader}(nselect:0)
{leader}(nselect:6) 	 	 {model, role model}(nselect:0)
{leader}(nselect:6) 	 	 {hero}(nselect:0)
{leader}(nselect:6) 	 	 {nationalist leader}(nselect:0)
{leader}(nselect:6) 	 	 {pied piper}(nselect:0)
{leader}(nselect:6) 	 	 {point man}(nselect:0)
{leader}(nselect:6) 	 	 {point woman}(nselect:0)
{leader}(nselect:6) 	 	 {puppet ruler, puppet leader}(nselect:0)
{leader}(nselect:6) 	 	 {religious leader}(nselect:0)
{leader}(nselect:6) 	 	 {scoutmaster}(nselect:0)
{leader}(nselect:6) 	 	 {spearhead}(nselect:0)
{leader}(nselect:6) 	 	 {strike leader}(nselect:0)
{leader}(nselect:6) 	 	 {superior, higher-up, superordinate}(nselect:0)
{leader}(nselect:6) 	 	 {torchbearer}(nselect:0)
{leader}(nselect:6) 	 	 {trainer}(nselect:0)
{trainer}(nselect:0) 	 	 {animal trainer, handler}(nselect:0)
{trainer}(nselect:0) 	 	 {coach, manager, handler}(nselect:11)
{coach, manager, handler}(nselect:11) 	 	 {baseball coach, baseball manager}(nselect:0)
{coach, manager, handler}(nselect:11) 	 	 {basketball coach}(nselect:0)
{coach, manager, handler}(nselect:11) 	 	 {conditioner}(nselect:0)
{coach, manager, handler}(nselect:11) 	 	 {football coach}(nselect:0)
{coach, manager, handler}(nselect:11) 	 	 {hockey coach}(nselect:0)
{coach, manager, handler}(nselect:11) 	 	 {tennis coach}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:73) 	 	 {worker}(nselect:0)
{worker}(nselect:0) 	 	 {skilled worker, trained worker, skilled workman}(nselect:0)
{skilled worker, trained worker, skilled workman}(nselect:0) 	 	 {official, functionary}(nselect:0)
{official, functionary}(nselect:0) 	 	 {apparatchik}(nselect:0)
{official, functionary}(nselect:0) 	 	 {appointee}(nselect:0)
{official, functionary}(nselect:0) 	 	 {bailiff}(nselect:0)
{official, functionary}(nselect:0) 	 	 {beadle}(nselect:0)
{official, functionary}(nselect:0) 	 	 {bureaucrat, administrative official}(nselect:0)
{official, functionary}(nselect:0) 	 	 {caretaker}(nselect:0)
{official, functionary}(nselect:0) 	 	 {censor}(nselect:0)
{official, functionary}(nselect:0) 	 	 {census taker, enumerator}(nselect:0)
{official, functionary}(nselect:0) 	 	 {church officer}(nselect:0)
{official, functionary}(nselect:0) 	 	 {city father}(nselect:0)
{official, functionary}(nselect:0) 	 	 {civil servant}(nselect:0)
{official, functionary}(nselect:0) 	 	 {commissar, political commissar}(nselect:0)
{official, functionary}(nselect:0) 	 	 {Comptroller General}(nselect:0)
{official, functionary}(nselect:0) 	 	 {Comptroller of the Currency}(nselect:0)
{official, functionary}(nselect:0) 	 	 {diplomat, diplomatist}(nselect:0)
{official, functionary}(nselect:0) 	 	 {elected official}(nselect:0)
{official, functionary}(nselect:0) 	 	 {equerry}(nselect:0)
{official, functionary}(nselect:0) 	 	 {fire marshall}(nselect:0)
{official, functionary}(nselect:0) 	 	 {fire warden, forest fire fighter, ranger}(nselect:0)
{official, functionary}(nselect:0) 	 	 {hearing examiner, hearing officer}(nselect:0)
{official, functionary}(nselect:0) 	 	 {holdover, hangover}(nselect:0)
{official, functionary}(nselect:0) 	 	 {incumbent, officeholder}(nselect:0)
{official, functionary}(nselect:0) 	 	 {Inquisitor}(nselect:0)
{official, functionary}(nselect:0) 	 	 {invalidator, voider, nullifier}(nselect:0)
{official, functionary}(nselect:0) 	 	 {judge, justice, jurist}(nselect:16)
{judge, justice, jurist}(nselect:16) 	 	 {alcalde}(nselect:0)
{judge, justice, jurist}(nselect:16) 	 	 {chief justice}(nselect:0)
{judge, justice, jurist}(nselect:16) 	 	 {Daniel}(nselect:0)
{judge, justice, jurist}(nselect:16) 	 	 {doge}(nselect:0)
{judge, justice, jurist}(nselect:16) 	 	 {justiciar, justiciary}(nselect:0)
{judge, justice, jurist}(nselect:16) 	 	 {magistrate}(nselect:0)
{judge, justice, jurist}(nselect:16) 	 	 {ordinary}(nselect:0)
{judge, justice, jurist}(nselect:16) 	 	 {praetor, pretor}(nselect:0)
{judge, justice, jurist}(nselect:16) 	 	 {qadi}(nselect:0)
{judge, justice, jurist}(nselect:16) 	 	 {recorder}(nselect:0)
{judge, justice, jurist}(nselect:16) 	 	 {trial judge}(nselect:0)
{judge, justice, jurist}(nselect:16) 	 	 {trier}(nselect:0)
{official, functionary}(nselect:0) 	 	 {licenser}(nselect:0)
{official, functionary}(nselect:0) 	 	 {macebearer, mace, macer}(nselect:0)
{official, functionary}(nselect:0) 	 	 {mandarin}(nselect:0)
{official, functionary}(nselect:0) 	 	 {notary, notary public}(nselect:0)
{official, functionary}(nselect:0) 	 	 {noticer}(nselect:0)
{official, functionary}(nselect:0) 	 	 {officeholder, officer}(nselect:0)
{official, functionary}(nselect:0) 	 	 {agent, federal agent}(nselect:0)
{official, functionary}(nselect:0) 	 	 {provincial}(nselect:0)
{official, functionary}(nselect:0) 	 	 {postmaster general}(nselect:0)
{official, functionary}(nselect:0) 	 	 {proconsul}(nselect:0)
{official, functionary}(nselect:0) 	 	 {quaestor}(nselect:0)
{official, functionary}(nselect:0) 	 	 {recruiter}(nselect:0)
{official, functionary}(nselect:0) 	 	 {registrar, record-keeper, recorder}(nselect:0)
{registrar, record-keeper, recorder}(nselect:0) 	 	 {rapporteur}(nselect:15)
{official, functionary}(nselect:0) 	 	 {regulator}(nselect:0)
{official, functionary}(nselect:0) 	 	 {returning officer}(nselect:0)
{official, functionary}(nselect:0) 	 	 {sealer}(nselect:0)
{official, functionary}(nselect:0) 	 	 {searcher}(nselect:0)
{official, functionary}(nselect:0) 	 	 {teller, vote counter}(nselect:0)
{official, functionary}(nselect:0) 	 	 {town clerk}(nselect:0)
{official, functionary}(nselect:0) 	 	 {usher, doorkeeper}(nselect:0)
{official, functionary}(nselect:0) 	 	 {vizier}(nselect:0)
{official, functionary}(nselect:0) 	 	 {weigher}(nselect:0)
{official, functionary}(nselect:0) 	 	 {prosecutor, public prosecutor, prosecuting officer, prosecuting attorney}(nselect:5)
{prosecutor, public prosecutor, prosecuting officer, prosecuting attorney}(nselect:5) 	 	 {district attorney, DA}(nselect:0)
{prosecutor, public prosecutor, prosecuting officer, prosecuting attorney}(nselect:5) 	 	 {state's attorney, state attorney}(nselect:0)
{skilled worker, trained worker, skilled workman}(nselect:0) 	 	 {serviceman, military man, man, military personnel}(nselect:0)
{serviceman, military man, man, military personnel}(nselect:0) 	 	 {enlisted person}(nselect:0)
{enlisted person}(nselect:0) 	 	 {soldier}(nselect:0)
{soldier}(nselect:0) 	 	 {Gurkha}(nselect:0)
{soldier}(nselect:0) 	 	 {Anzac}(nselect:0)
{soldier}(nselect:0) 	 	 {cannon fodder, fodder, fresh fish}(nselect:0)
{soldier}(nselect:0) 	 	 {cavalryman, trooper}(nselect:0)
{soldier}(nselect:0) 	 	 {cavalryman, trooper}(nselect:0)
{soldier}(nselect:0) 	 	 {color bearer, standard-bearer}(nselect:0)
{soldier}(nselect:0) 	 	 {Confederate soldier}(nselect:0)
{soldier}(nselect:0) 	 	 {redcoat, lobsterback}(nselect:0)
{soldier}(nselect:0) 	 	 {flanker}(nselect:0)
{soldier}(nselect:0) 	 	 {goldbrick}(nselect:0)
{soldier}(nselect:0) 	 	 {Green Beret}(nselect:0)
{soldier}(nselect:0) 	 	 {guardsman}(nselect:0)
{soldier}(nselect:0) 	 	 {Highlander}(nselect:0)
{soldier}(nselect:0) 	 	 {infantryman, marcher, foot soldier, footslogger}(nselect:0)
{soldier}(nselect:0) 	 	 {Janissary}(nselect:0)
{soldier}(nselect:0) 	 	 {jawan}(nselect:0)
{soldier}(nselect:0) 	 	 {legionnaire, legionary}(nselect:0)
{soldier}(nselect:0) 	 	 {man-at-arms}(nselect:0)
{soldier}(nselect:0) 	 	 {marine}(nselect:0)
{soldier}(nselect:0) 	 	 {orderly}(nselect:0)
{soldier}(nselect:0) 	 	 {paratrooper, para}(nselect:0)
{soldier}(nselect:0) 	 	 {peacekeeper}(nselect:0)
{soldier}(nselect:0) 	 	 {pistoleer}(nselect:0)
{soldier}(nselect:0) 	 	 {poilu}(nselect:0)
{soldier}(nselect:0) 	 	 {point man}(nselect:0)
{soldier}(nselect:0) 	 	 {ranker}(nselect:0)
{soldier}(nselect:0) 	 	 {regular}(nselect:0)
{soldier}(nselect:0) 	 	 {reservist}(nselect:0)
{soldier}(nselect:0) 	 	 {rifleman}(nselect:0)
{soldier}(nselect:0) 	 	 {Section Eight}(nselect:0)
{soldier}(nselect:0) 	 	 {tanker, tank driver}(nselect:0)
{soldier}(nselect:0) 	 	 {territorial}(nselect:0)
{soldier}(nselect:0) 	 	 {Unknown Soldier}(nselect:0)
{soldier}(nselect:0) 	 	 {Wac}(nselect:0)
{soldier}(nselect:0) 	 	 {Uriah}(nselect:0)
{soldier}(nselect:0) 	 	 {militiaman}(nselect:4)
{militiaman}(nselect:4) 	 	 {Minuteman}(nselect:0)
{militiaman}(nselect:4) 	 	 {trainbandsman}(nselect:0)
{worker}(nselect:0) 	 	 {employee}(nselect:5)
{employee}(nselect:5) 	 	 {dining-room attendant, restaurant attendant}(nselect:0)
{dining-room attendant, restaurant attendant}(nselect:0) 	 	 {busboy, waiter's assistant}(nselect:0)
{dining-room attendant, restaurant attendant}(nselect:0) 	 	 {captain, headwaiter, maitre d'hotel, maitre d'}(nselect:0)
{dining-room attendant, restaurant attendant}(nselect:0) 	 	 {waiter, server}(nselect:4)
{waiter, server}(nselect:4) 	 	 {carhop}(nselect:0)
{waiter, server}(nselect:4) 	 	 {counterperson, counterwoman, counterman}(nselect:0)
{waiter, server}(nselect:4) 	 	 {sommelier, wine waiter, wine steward}(nselect:0)
{waiter, server}(nselect:4) 	 	 {waitress}(nselect:0)
{employee}(nselect:5) 	 	 {bartender, barman, barkeep, barkeeper, mixologist}(nselect:0)
{employee}(nselect:5) 	 	 {clerk}(nselect:0)
{employee}(nselect:5) 	 	 {company man}(nselect:0)
{employee}(nselect:5) 	 	 {copyist, scribe, scrivener}(nselect:0)
{employee}(nselect:5) 	 	 {copywriter}(nselect:0)
{employee}(nselect:5) 	 	 {crewman}(nselect:0)
{employee}(nselect:5) 	 	 {deliveryman, delivery boy, deliverer}(nselect:0)
{employee}(nselect:5) 	 	 {dispatcher}(nselect:0)
{employee}(nselect:5) 	 	 {dog catcher}(nselect:0)
{employee}(nselect:5) 	 	 {floater}(nselect:0)
{employee}(nselect:5) 	 	 {floorwalker, shopwalker}(nselect:0)
{employee}(nselect:5) 	 	 {gardener}(nselect:0)
{employee}(nselect:5) 	 	 {gasman}(nselect:0)
{employee}(nselect:5) 	 	 {gofer}(nselect:0)
{employee}(nselect:5) 	 	 {hire}(nselect:0)
{employee}(nselect:5) 	 	 {hired help}(nselect:0)
{employee}(nselect:5) 	 	 {hireling, pensionary}(nselect:0)
{employee}(nselect:5) 	 	 {jobholder}(nselect:0)
{employee}(nselect:5) 	 	 {line worker}(nselect:0)
{employee}(nselect:5) 	 	 {liveryman}(nselect:0)
{employee}(nselect:5) 	 	 {office boy}(nselect:0)
{employee}(nselect:5) 	 	 {organization man}(nselect:0)
{employee}(nselect:5) 	 	 {porter, Pullman porter}(nselect:0)
{employee}(nselect:5) 	 	 {potboy, potman}(nselect:0)
{employee}(nselect:5) 	 	 {public servant}(nselect:0)
{employee}(nselect:5) 	 	 {registrar}(nselect:0)
{employee}(nselect:5) 	 	 {salesperson, sales representative, sales rep}(nselect:0)
{employee}(nselect:5) 	 	 {sandwichman}(nselect:0)
{employee}(nselect:5) 	 	 {spotter}(nselect:0)
{employee}(nselect:5) 	 	 {spotter}(nselect:0)
{employee}(nselect:5) 	 	 {staff member, staffer}(nselect:0)
{employee}(nselect:5) 	 	 {stagehand, stage technician}(nselect:0)
{employee}(nselect:5) 	 	 {stocktaker, stock-taker}(nselect:0)
{employee}(nselect:5) 	 	 {sweeper}(nselect:0)
{employee}(nselect:5) 	 	 {tollkeeper, tollman, tollgatherer, toll collector, toll taker, toll agent, toller}(nselect:0)
{employee}(nselect:5) 	 	 {trainman, railroader, railroad man, railwayman, railway man}(nselect:0)
{employee}(nselect:5) 	 	 {turncock}(nselect:0)
{employee}(nselect:5) 	 	 {typist}(nselect:0)
{employee}(nselect:5) 	 	 {workman, workingman, working man, working person}(nselect:0)
{worker}(nselect:0) 	 	 {caster}(nselect:0)
{worker}(nselect:0) 	 	 {finisher}(nselect:0)
{worker}(nselect:0) 	 	 {assistant, helper, help, supporter}(nselect:0)
{worker}(nselect:0) 	 	 {beater}(nselect:0)
{worker}(nselect:0) 	 	 {bill poster, poster, bill sticker}(nselect:0)
{worker}(nselect:0) 	 	 {bleacher}(nselect:0)
{worker}(nselect:0) 	 	 {boatman, boater, waterman}(nselect:0)
{worker}(nselect:0) 	 	 {carter}(nselect:0)
{worker}(nselect:0) 	 	 {charcoal burner}(nselect:0)
{worker}(nselect:0) 	 	 {collector, gatherer, accumulator}(nselect:0)
{worker}(nselect:0) 	 	 {comber}(nselect:0)
{worker}(nselect:0) 	 	 {cornhusker}(nselect:0)
{worker}(nselect:0) 	 	 {driver}(nselect:0)
{worker}(nselect:0) 	 	 {employable}(nselect:0)
{worker}(nselect:0) 	 	 {freelancer, freelance, free-lance, free lance, independent, self-employed person}(nselect:0)
{worker}(nselect:0) 	 	 {gutter}(nselect:0)
{worker}(nselect:0) 	 	 {hanger}(nselect:0)
{worker}(nselect:0) 	 	 {lamplighter}(nselect:0)
{worker}(nselect:0) 	 	 {melter}(nselect:0)
{worker}(nselect:0) 	 	 {moonlighter}(nselect:0)
{worker}(nselect:0) 	 	 {mopper}(nselect:0)
{worker}(nselect:0) 	 	 {muzzler}(nselect:0)
{worker}(nselect:0) 	 	 {nailer}(nselect:0)
{worker}(nselect:0) 	 	 {oiler}(nselect:0)
{worker}(nselect:0) 	 	 {part-timer}(nselect:0)
{worker}(nselect:0) 	 	 {peeler}(nselect:0)
{worker}(nselect:0) 	 	 {planter}(nselect:0)
{worker}(nselect:0) 	 	 {plier, plyer}(nselect:0)
{worker}(nselect:0) 	 	 {processor}(nselect:0)
{worker}(nselect:0) 	 	 {pruner, trimmer}(nselect:0)
{worker}(nselect:0) 	 	 {puller, tugger, dragger}(nselect:0)
{worker}(nselect:0) 	 	 {quarryman, quarrier}(nselect:0)
{worker}(nselect:0) 	 	 {ragsorter}(nselect:0)
{worker}(nselect:0) 	 	 {scab, strikebreaker, blackleg, rat}(nselect:0)
{worker}(nselect:0) 	 	 {scrubber}(nselect:0)
{worker}(nselect:0) 	 	 {seasonal worker, seasonal}(nselect:0)
