Verbo(nselect:0) 	 	 {have, have got, hold}(nselect:3)
{make, create}(nselect:0) 	 	 {prepare}(nselect:0)
{make, create}(nselect:0) 	 	 {cut}(nselect:0)
{make, create}(nselect:0) 	 	 {cut}(nselect:0)
{make, create}(nselect:0) 	 	 {raise}(nselect:0)
{make, create}(nselect:0) 	 	 {beat}(nselect:0)
{make, create}(nselect:0) 	 	 {chop}(nselect:0)
{make, create}(nselect:0) 	 	 {manufacture}(nselect:0)
{make, create}(nselect:0) 	 	 {blast, shell}(nselect:0)
{make, create}(nselect:0) 	 	 {arouse, elicit, enkindle, kindle, evoke, fire, raise, provoke}(nselect:0)
{make, create}(nselect:0) 	 	 {incorporate}(nselect:0)
{make, create}(nselect:0) 	 	 {form, organize, organise}(nselect:0)
{make, create}(nselect:0) 	 	 {originate, initiate, start}(nselect:1)
{originate, initiate, start}(nselect:1) 	 	 {lead up, initiate}(nselect:0)
{originate, initiate, start}(nselect:1) 	 	 {set}(nselect:0)
{originate, initiate, start}(nselect:1) 	 	 {go back, date back, date from}(nselect:0)
Verbo(nselect:0) 	 	 {move}(nselect:0)
{move}(nselect:0) 	 	 {turn}(nselect:0)
{turn}(nselect:0) 	 	 {revolve, go around, rotate}(nselect:0)
{revolve, go around, rotate}(nselect:0) 	 	 {screw, drive in}(nselect:0)
{revolve, go around, rotate}(nselect:0) 	 	 {screw}(nselect:0)
{revolve, go around, rotate}(nselect:0) 	 	 {wheel, wheel around}(nselect:0)
{revolve, go around, rotate}(nselect:0) 	 	 {twirl, swirl, twiddle, whirl}(nselect:0)
{revolve, go around, rotate}(nselect:0) 	 	 {spin, spin around, whirl, reel, gyrate}(nselect:5)
{spin, spin around, whirl, reel, gyrate}(nselect:5) 	 	 {whirligig}(nselect:0)
Verbo(nselect:0) 	 	 {determine, find, find out, ascertain}(nselect:0)
{determine, find, find out, ascertain}(nselect:0) 	 	 {gauge}(nselect:0)
{determine, find, find out, ascertain}(nselect:0) 	 	 {translate}(nselect:0)
{determine, find, find out, ascertain}(nselect:0) 	 	 {rectify}(nselect:0)
{determine, find, find out, ascertain}(nselect:0) 	 	 {redetermine}(nselect:0)
{determine, find, find out, ascertain}(nselect:0) 	 	 {sequence}(nselect:0)
{determine, find, find out, ascertain}(nselect:0) 	 	 {refract}(nselect:0)
{determine, find, find out, ascertain}(nselect:0) 	 	 {count, number, enumerate, numerate}(nselect:0)
{determine, find, find out, ascertain}(nselect:0) 	 	 {admeasure}(nselect:0)
{determine, find, find out, ascertain}(nselect:0) 	 	 {situate, locate}(nselect:3)
{situate, locate}(nselect:3) 	 	 {acquire}(nselect:0)
{situate, locate}(nselect:3) 	 	 {radiolocate}(nselect:0)
{situate, locate}(nselect:3) 	 	 {map}(nselect:0)
{situate, locate}(nselect:3) 	 	 {place, localize, localise}(nselect:0)
{situate, locate}(nselect:3) 	 	 {base}(nselect:0)
Verbo(nselect:0) 	 	 {think, cogitate, cerebrate}(nselect:0)
{think, cogitate, cerebrate}(nselect:0) 	 	 {reason}(nselect:0)
{reason}(nselect:0) 	 	 {categorize, categorise}(nselect:0)
{categorize, categorise}(nselect:0) 	 	 {classify, class, sort, assort, sort out, separate}(nselect:0)
{classify, class, sort, assort, sort out, separate}(nselect:0) 	 	 {unitize, unitise}(nselect:0)
{classify, class, sort, assort, sort out, separate}(nselect:0) 	 	 {isolate}(nselect:0)
{classify, class, sort, assort, sort out, separate}(nselect:0) 	 	 {refer}(nselect:0)
{classify, class, sort, assort, sort out, separate}(nselect:0) 	 	 {reclassify}(nselect:0)
{classify, class, sort, assort, sort out, separate}(nselect:0) 	 	 {size}(nselect:0)
{classify, class, sort, assort, sort out, separate}(nselect:0) 	 	 {dichotomize, dichotomise}(nselect:0)
{classify, class, sort, assort, sort out, separate}(nselect:0) 	 	 {pigeonhole, stereotype, stamp}(nselect:0)
{classify, class, sort, assort, sort out, separate}(nselect:0) 	 	 {group}(nselect:0)
{classify, class, sort, assort, sort out, separate}(nselect:0) 	 	 {grade}(nselect:0)
{classify, class, sort, assort, sort out, separate}(nselect:0) 	 	 {count, number}(nselect:0)
{classify, class, sort, assort, sort out, separate}(nselect:0) 	 	 {catalogue, catalog}(nselect:1)
{reason}(nselect:0) 	 	 {calculate, cipher, cypher, compute, work out, reckon, figure}(nselect:0)
{calculate, cipher, cypher, compute, work out, reckon, figure}(nselect:0) 	 	 {quantize, quantise}(nselect:0)
{calculate, cipher, cypher, compute, work out, reckon, figure}(nselect:0) 	 	 {extract}(nselect:0)
{calculate, cipher, cypher, compute, work out, reckon, figure}(nselect:0) 	 	 {process}(nselect:0)
{calculate, cipher, cypher, compute, work out, reckon, figure}(nselect:0) 	 	 {prorate}(nselect:0)
{calculate, cipher, cypher, compute, work out, reckon, figure}(nselect:0) 	 	 {miscalculate, misestimate}(nselect:0)
{calculate, cipher, cypher, compute, work out, reckon, figure}(nselect:0) 	 	 {recalculate}(nselect:0)
{calculate, cipher, cypher, compute, work out, reckon, figure}(nselect:0) 	 	 {average, average out}(nselect:0)
{calculate, cipher, cypher, compute, work out, reckon, figure}(nselect:0) 	 	 {factor, factor in, factor out}(nselect:0)
{calculate, cipher, cypher, compute, work out, reckon, figure}(nselect:0) 	 	 {add, add together}(nselect:0)
{calculate, cipher, cypher, compute, work out, reckon, figure}(nselect:0) 	 	 {subtract, deduct, take off}(nselect:0)
{calculate, cipher, cypher, compute, work out, reckon, figure}(nselect:0) 	 	 {multiply}(nselect:0)
{calculate, cipher, cypher, compute, work out, reckon, figure}(nselect:0) 	 	 {divide, fraction}(nselect:0)
{calculate, cipher, cypher, compute, work out, reckon, figure}(nselect:0) 	 	 {interpolate, extrapolate}(nselect:0)
{calculate, cipher, cypher, compute, work out, reckon, figure}(nselect:0) 	 	 {differentiate}(nselect:0)
{calculate, cipher, cypher, compute, work out, reckon, figure}(nselect:0) 	 	 {integrate}(nselect:0)
{calculate, cipher, cypher, compute, work out, reckon, figure}(nselect:0) 	 	 {survey}(nselect:0)
{calculate, cipher, cypher, compute, work out, reckon, figure}(nselect:0) 	 	 {budget}(nselect:0)
{calculate, cipher, cypher, compute, work out, reckon, figure}(nselect:0) 	 	 {capitalize, capitalise}(nselect:0)
{calculate, cipher, cypher, compute, work out, reckon, figure}(nselect:0) 	 	 {resolve, solve}(nselect:0)
{calculate, cipher, cypher, compute, work out, reckon, figure}(nselect:0) 	 	 {estimate, gauge, approximate, guess, judge}(nselect:1)
{estimate, gauge, approximate, guess, judge}(nselect:1) 	 	 {quantize, quantise}(nselect:0)
{estimate, gauge, approximate, guess, judge}(nselect:1) 	 	 {misgauge}(nselect:0)
{estimate, gauge, approximate, guess, judge}(nselect:1) 	 	 {place, put, set}(nselect:0)
{estimate, gauge, approximate, guess, judge}(nselect:1) 	 	 {give}(nselect:0)
{estimate, gauge, approximate, guess, judge}(nselect:1) 	 	 {lowball, underestimate}(nselect:0)
{estimate, gauge, approximate, guess, judge}(nselect:1) 	 	 {assess}(nselect:0)
{estimate, gauge, approximate, guess, judge}(nselect:1) 	 	 {make}(nselect:0)
{estimate, gauge, approximate, guess, judge}(nselect:1) 	 	 {reckon, count}(nselect:0)
{estimate, gauge, approximate, guess, judge}(nselect:1) 	 	 {truncate}(nselect:0)
{estimate, gauge, approximate, guess, judge}(nselect:1) 	 	 {guesstimate}(nselect:0)
{think, cogitate, cerebrate}(nselect:0) 	 	 {evaluate, pass judgment, judge}(nselect:0)
{evaluate, pass judgment, judge}(nselect:0) 	 	 {think, believe, consider, conceive}(nselect:0)
{think, believe, consider, conceive}(nselect:0) 	 	 {see, consider, reckon, view, regard}(nselect:0)
{see, consider, reckon, view, regard}(nselect:0) 	 	 {expect}(nselect:0)
{see, consider, reckon, view, regard}(nselect:0) 	 	 {receive}(nselect:0)
{see, consider, reckon, view, regard}(nselect:0) 	 	 {reconsider}(nselect:0)
{see, consider, reckon, view, regard}(nselect:0) 	 	 {reconsider}(nselect:0)
{see, consider, reckon, view, regard}(nselect:0) 	 	 {include}(nselect:0)
{see, consider, reckon, view, regard}(nselect:0) 	 	 {consider}(nselect:0)
{see, consider, reckon, view, regard}(nselect:0) 	 	 {call}(nselect:0)
{see, consider, reckon, view, regard}(nselect:0) 	 	 {like}(nselect:0)
{see, consider, reckon, view, regard}(nselect:0) 	 	 {relativize, relativise}(nselect:0)
{see, consider, reckon, view, regard}(nselect:0) 	 	 {favor, favour}(nselect:0)
{see, consider, reckon, view, regard}(nselect:0) 	 	 {abstract}(nselect:0)
{see, consider, reckon, view, regard}(nselect:0) 	 	 {reify}(nselect:0)
{see, consider, reckon, view, regard}(nselect:0) 	 	 {idealize, idealise}(nselect:0)
{see, consider, reckon, view, regard}(nselect:0) 	 	 {deem, hold, view as, take for}(nselect:0)
{see, consider, reckon, view, regard}(nselect:0) 	 	 {respect, esteem, value, prize, prise}(nselect:0)
{see, consider, reckon, view, regard}(nselect:0) 	 	 {disrespect, disesteem}(nselect:0)
{see, consider, reckon, view, regard}(nselect:0) 	 	 {make}(nselect:0)
{see, consider, reckon, view, regard}(nselect:0) 	 	 {capitalize, capitalise}(nselect:0)
{see, consider, reckon, view, regard}(nselect:0) 	 	 {prize, value, treasure, appreciate}(nselect:0)
{see, consider, reckon, view, regard}(nselect:0) 	 	 {identify}(nselect:2)
{evaluate, pass judgment, judge}(nselect:0) 	 	 {accept}(nselect:0)
{accept}(nselect:0) 	 	 {acknowledge, recognize, recognise, know}(nselect:0)
{accept}(nselect:0) 	 	 {espouse, embrace, adopt, sweep up}(nselect:0)
{accept}(nselect:0) 	 	 {receive}(nselect:0)
{accept}(nselect:0) 	 	 {approbate}(nselect:0)
{accept}(nselect:0) 	 	 {resign, reconcile, submit}(nselect:0)
{accept}(nselect:0) 	 	 {acknowledge}(nselect:0)
{accept}(nselect:0) 	 	 {take a bow}(nselect:0)
{accept}(nselect:0) 	 	 {respect, honor, honour, abide by, observe}(nselect:0)
{accept}(nselect:0) 	 	 {believe}(nselect:1)
{believe}(nselect:1) 	 	 {understand, infer}(nselect:0)
{believe}(nselect:1) 	 	 {swallow}(nselect:0)
{believe}(nselect:1) 	 	 {buy}(nselect:0)
{believe}(nselect:1) 	 	 {believe}(nselect:0)
{believe}(nselect:1) 	 	 {trust, swear, rely, bank}(nselect:0)
{believe}(nselect:1) 	 	 {believe in}(nselect:0)
{think, cogitate, cerebrate}(nselect:0) 	 	 {puzzle over}(nselect:0)
{think, cogitate, cerebrate}(nselect:0) 	 	 {rationalize, rationalise}(nselect:0)
{think, cogitate, cerebrate}(nselect:0) 	 	 {think}(nselect:0)
{think, cogitate, cerebrate}(nselect:0) 	 	 {philosophize, philosophise}(nselect:0)
{think, cogitate, cerebrate}(nselect:0) 	 	 {brainstorm}(nselect:0)
{think, cogitate, cerebrate}(nselect:0) 	 	 {chew over, think over, meditate, ponder, excogitate, contemplate, muse, reflect, mull, mull over, ruminate, speculate}(nselect:0)
{think, cogitate, cerebrate}(nselect:0) 	 	 {study, meditate, contemplate}(nselect:0)
{think, cogitate, cerebrate}(nselect:0) 	 	 {plan}(nselect:0)
{think, cogitate, cerebrate}(nselect:0) 	 	 {associate, tie in, relate, link, colligate, link up, connect}(nselect:0)
{think, cogitate, cerebrate}(nselect:0) 	 	 {concentrate, focus, center, centre, pore, rivet}(nselect:0)
{think, cogitate, cerebrate}(nselect:0) 	 	 {give, pay, devote}(nselect:0)
{think, cogitate, cerebrate}(nselect:0) 	 	 {think about}(nselect:0)
{think, cogitate, cerebrate}(nselect:0) 	 	 {think}(nselect:0)
{think, cogitate, cerebrate}(nselect:0) 	 	 {think}(nselect:0)
{think, cogitate, cerebrate}(nselect:0) 	 	 {reason, reason out, conclude}(nselect:1)
{reason, reason out, conclude}(nselect:1) 	 	 {induce}(nselect:0)
{reason, reason out, conclude}(nselect:1) 	 	 {deduce, infer, deduct, derive}(nselect:0)
{reason, reason out, conclude}(nselect:1) 	 	 {syllogize, syllogise}(nselect:0)
{reason, reason out, conclude}(nselect:1) 	 	 {find, feel}(nselect:0)
{reason, reason out, conclude}(nselect:1) 	 	 {deduce, infer}(nselect:0)
{reason, reason out, conclude}(nselect:1) 	 	 {gather}(nselect:0)
{reason, reason out, conclude}(nselect:1) 	 	 {generalize, generalise, extrapolate, infer}(nselect:0)
Verbo(nselect:0) 	 	 {act, move}(nselect:0)
{act, move}(nselect:0) 	 	 {interact}(nselect:0)
{interact}(nselect:0) 	 	 {communicate, intercommunicate}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {grimace, make a face, pull a face}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {yak, gab}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {fingerspell, finger-spell}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {aphorize, aphorise}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {riddle}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {project}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {reach, get through, get hold of, contact}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {inflict, bring down, visit, impose}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {commune}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {ask, inquire, enquire}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {telecommunicate}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {joke, jest}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {blog}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {greet}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {address, turn to}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {nod}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {sign}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {talk, speak, utter, mouth, verbalize, verbalise}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {talk, speak}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {speak, talk}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {gesticulate, gesture, motion}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {telepathize, telepathise}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {write}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {radio}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {write}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {network}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {sign, signal, signalize, signalise}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {semaphore}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {whistle}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {give, throw}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {give, pay}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {give, render}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {carry, convey, express}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {issue}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {come across, come over}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {share}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {get}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {inform}(nselect:1)
{inform}(nselect:1) 	 	 {wise up}(nselect:0)
{inform}(nselect:1) 	 	 {teach, learn, instruct}(nselect:0)
{inform}(nselect:1) 	 	 {instruct, apprise, apprize}(nselect:0)
{inform}(nselect:1) 	 	 {inoculate}(nselect:0)
{inform}(nselect:1) 	 	 {acquaint}(nselect:0)
{inform}(nselect:1) 	 	 {warn}(nselect:0)
{inform}(nselect:1) 	 	 {inform}(nselect:0)
{inform}(nselect:1) 	 	 {fill in}(nselect:0)
{inform}(nselect:1) 	 	 {update}(nselect:0)
{inform}(nselect:1) 	 	 {misinform, mislead}(nselect:0)
{inform}(nselect:1) 	 	 {understate, minimize, minimise, downplay}(nselect:0)
{inform}(nselect:1) 	 	 {denounce, tell on, betray, give away, rat, grass, shit, shop, snitch, stag}(nselect:0)
{inform}(nselect:1) 	 	 {undeceive}(nselect:0)
{inform}(nselect:1) 	 	 {warn}(nselect:0)
{inform}(nselect:1) 	 	 {advise, notify, give notice, send word, apprise, apprize}(nselect:0)
{inform}(nselect:1) 	 	 {familiarize, familiarise, acquaint}(nselect:0)
{inform}(nselect:1) 	 	 {prompt, remind, cue}(nselect:0)
{inform}(nselect:1) 	 	 {volunteer}(nselect:0)
{inform}(nselect:1) 	 	 {introduce, present, acquaint}(nselect:0)
{inform}(nselect:1) 	 	 {regret}(nselect:0)
{inform}(nselect:1) 	 	 {indicate, point, designate, show}(nselect:0)
{inform}(nselect:1) 	 	 {indicate}(nselect:0)
{inform}(nselect:1) 	 	 {indicate, suggest}(nselect:0)
{inform}(nselect:1) 	 	 {nark}(nselect:0)
{inform}(nselect:1) 	 	 {explain, explicate}(nselect:0)
{inform}(nselect:1) 	 	 {tell}(nselect:0)
{inform}(nselect:1) 	 	 {tell, narrate, recount, recite}(nselect:0)
{inform}(nselect:1) 	 	 {narrate}(nselect:0)
{inform}(nselect:1) 	 	 {report, describe, account}(nselect:0)
{inform}(nselect:1) 	 	 {report}(nselect:0)
{inform}(nselect:1) 	 	 {report, cover}(nselect:0)
{inform}(nselect:1) 	 	 {announce, denote}(nselect:1)
{announce, denote}(nselect:1) 	 	 {denounce}(nselect:0)
{announce, denote}(nselect:1) 	 	 {meld}(nselect:0)
{announce, denote}(nselect:1) 	 	 {report}(nselect:0)
{announce, denote}(nselect:1) 	 	 {report}(nselect:0)
{announce, denote}(nselect:1) 	 	 {cry, blazon out}(nselect:0)
{announce, denote}(nselect:1) 	 	 {trump, trump out}(nselect:0)
{announce, denote}(nselect:1) 	 	 {blare out, blat out}(nselect:0)
{announce, denote}(nselect:1) 	 	 {call out}(nselect:0)
{announce, denote}(nselect:1) 	 	 {advertise, publicize, advertize, publicise}(nselect:0)
{announce, denote}(nselect:1) 	 	 {post}(nselect:0)
{announce, denote}(nselect:1) 	 	 {sound}(nselect:0)
{inform}(nselect:1) 	 	 {disabuse}(nselect:0)
{inform}(nselect:1) 	 	 {remonstrate, point out}(nselect:0)
{inform}(nselect:1) 	 	 {testify, bear witness, prove, evidence, show}(nselect:0)
{act, move}(nselect:0) 	 	 {react, respond}(nselect:0)
{react, respond}(nselect:0) 	 	 {accept, consent, go for}(nselect:0)
{accept, consent, go for}(nselect:0) 	 	 {permit, allow, let, countenance}(nselect:0)
{permit, allow, let, countenance}(nselect:0) 	 	 {authorize, authorise, pass, clear}(nselect:0)
{authorize, authorise, pass, clear}(nselect:0) 	 	 {approve, O.K., okay, sanction}(nselect:0)
{approve, O.K., okay, sanction}(nselect:0) 	 	 {sanction}(nselect:0)
{approve, O.K., okay, sanction}(nselect:0) 	 	 {visa}(nselect:0)
{approve, O.K., okay, sanction}(nselect:0) 	 	 {confirm}(nselect:0)
{approve, O.K., okay, sanction}(nselect:0) 	 	 {back, endorse, indorse, plump for, plunk for, support}(nselect:1)
{back, endorse, indorse, plump for, plunk for, support}(nselect:1) 	 	 {guarantee, warrant}(nselect:0)
{back, endorse, indorse, plump for, plunk for, support}(nselect:1) 	 	 {champion, defend}(nselect:0)
{react, respond}(nselect:0) 	 	 {refuse, decline}(nselect:0)
{refuse, decline}(nselect:0) 	 	 {disobey}(nselect:0)
{disobey}(nselect:0) 	 	 {sit in}(nselect:0)
{disobey}(nselect:0) 	 	 {sabotage, undermine, countermine, counteract, subvert, weaken}(nselect:0)
{disobey}(nselect:0) 	 	 {resist, balk, baulk, jib}(nselect:1)
Verbo(nselect:0) 	 	 {be}(nselect:14)
{be}(nselect:14) 	 	 {look}(nselect:0)
{be}(nselect:14) 	 	 {suffer, hurt}(nselect:0)
{be}(nselect:14) 	 	 {be well}(nselect:0)
{be}(nselect:14) 	 	 {suffer}(nselect:0)
{be}(nselect:14) 	 	 {feel}(nselect:0)
{be}(nselect:14) 	 	 {stay, remain, rest}(nselect:0)
{be}(nselect:14) 	 	 {continue}(nselect:0)
{be}(nselect:14) 	 	 {sparkle, scintillate, coruscate}(nselect:0)
{be}(nselect:14) 	 	 {confuse, throw, fox, befuddle, fuddle, bedevil, confound, discombobulate}(nselect:0)
{be}(nselect:14) 	 	 {rank}(nselect:0)
{be}(nselect:14) 	 	 {point}(nselect:0)
{be}(nselect:14) 	 	 {want, need, require}(nselect:0)
{be}(nselect:14) 	 	 {compact, pack}(nselect:0)
{be}(nselect:14) 	 	 {rest}(nselect:0)
{be}(nselect:14) 	 	 {cut}(nselect:0)
{be}(nselect:14) 	 	 {seethe, boil}(nselect:0)
{be}(nselect:14) 	 	 {mope, moon around, moon about}(nselect:0)
{be}(nselect:14) 	 	 {look, appear, seem}(nselect:0)
{be}(nselect:14) 	 	 {appear, seem}(nselect:0)
{be}(nselect:14) 	 	 {owe}(nselect:0)
{be}(nselect:14) 	 	 {belong}(nselect:0)
{be}(nselect:14) 	 	 {cover}(nselect:0)
{be}(nselect:14) 	 	 {represent}(nselect:0)
{be}(nselect:14) 	 	 {account}(nselect:0)
{be}(nselect:14) 	 	 {cut across}(nselect:0)
